Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,2450AT43B100E,1,2450AT43B100E,C2917721
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,C131337
"C1, C12, C25, C26, C28",603,5,10uF,C96446
"C10, C14, C19",402,3,10pF,C32949
"C11, C16, C2, C23, C3, C5, C7, C8",402,8,2.2uF,C12530
C13,CP_EIA-3528-21_Kemet-B,1,100uF,C129567
"C15, C20",402,2,12pF,C1547
C17,603,1,22uF,C162690
C18,603,1,0.39uF,C309480
C21,603,1,1uF,C105504
"C24, C27, C29, C30, C31, C32, C9",402,7,100nF,C307331
"C33, C34",402,2,1uF,C52923
C35,CP_Elec_8x10.5,1,1000uF,C99833
C36,402,1,1nF,C141053
"C4, C6, R26",402,3,DNP,
"D1, D2",FM-B2020RGBA-HG,2,LED_RGBA,C108793
D5,D_MELF,1,ZM4728A,C38989
"D6, D7",D_SOD-123F,2,SMF5.0CA,C320548
D8,IR19-21C-TR8,1,IR19-21C/TR8,C142316
"H1, H2",MountingHole_3mm,2,Mounting Hole,
J2,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06,
L1,805,1,2.2uH,C86089
L2,805,1,100uH,C223180
LS1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Speaker,C158012
"M1, M2",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Male,C158012
Q2,XDCR_PT19-21B_L41_TR8,1,PT19-21B/L41/TR8,C131258
Q3,SOT-23-3,1,S8050,C2926165
R1,402,1,100K,C208776
"R10, R11, R12, R39, R4, R40, R5, R6",402,8,1K,C11702
"R13, R14",402,2,20K,C25765
"R15, R16",402,2,47R,C284589
"R17, R19, R22, R28, R29, R31, R33, R36, R37, R43, R7, R8, R9",402,13,10K,C25744
R2,402,1,0R,C102745
"R20, R3, R34, R35",402,4,150R,C140202
R23,1206,1,10R,C326706
R24,1206,1,3R,C3152278
R25,402,1,47K,C163830
R27,805,1,100R,C2907218
R30,402,1,33R,C208868
"R41, R42",1206,2,1R,C17928
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm,1,BL706C,C2874060
U2,SOP-8_3.9x4.9mm_P1.27mm,1,FM8002A,C94625
"U3, U4",SOP-8_3.9x4.9mm_P1.27mm,2,TC8301,C2887481
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C255896
